inventory_id,fig_num,quantity
454,fig-003538,1
454,fig-003539,1
454,fig-003540,1
457,fig-000504,1
465,fig-006554,1
465,fig-006854,1
465,fig-006857,1
465,fig-006861,1
465,fig-006866,1
465,fig-006871,1
467,fig-001127,1
467,fig-006910,1
468,fig-001363,1
468,fig-003332,1
468,fig-003333,1
468,fig-003334,1
468,fig-003335,1
472,fig-000195,1
475,fig-000762,1
475,fig-000782,2
477,fig-001147,1
482,fig-006882,1
482,fig-006883,1
484,fig-009315,1
491,fig-008687,1
491,fig-008688,1
498,fig-001134,2
499,fig-004970,1
499,fig-004973,1
502,fig-000775,1
505,fig-001190,1
505,fig-003309,2
505,fig-003315,1
505,fig-003316,1
505,fig-003317,1
506,fig-007616,1
506,fig-007617,1
506,fig-007618,1
506,fig-007619,1
511,fig-000457,1
511,fig-006084,1
511,fig-006122,1
511,fig-006157,1
511,fig-006159,1
511,fig-006160,1
511,fig-006161,1
512,fig-001024,1
517,fig-000560,1
518,fig-007207,1
518,fig-007208,1
523,fig-000806,1
523,fig-003781,1
523,fig-003810,2
523,fig-003811,1
541,fig-000032,1
541,fig-005963,1
544,fig-005958,1
544,fig-005959,1
544,fig-005960,1
547,fig-000532,1
549,fig-010665,1
551,fig-000523,1
557,fig-000294,1
557,fig-006750,1
557,fig-006752,1
557,fig-006753,1
557,fig-006754,1
557,fig-006755,1
557,fig-006757,1
557,fig-006758,1
557,fig-006759,1
557,fig-006761,1
557,fig-006762,1
557,fig-006763,1
558,fig-002118,1
558,fig-006478,1
558,fig-006479,1
560,fig-000262,1
567,fig-005678,1
567,fig-005679,1
575,fig-000090,1
576,fig-000023,1
577,fig-001168,1
577,fig-002214,1
577,fig-004562,1
577,fig-004563,1
577,fig-004564,1
587,fig-000738,1
589,fig-000186,1
591,fig-001293,1
593,fig-004929,1
593,fig-004930,1
593,fig-004931,1
593,fig-004936,1
595,fig-000472,1
599,fig-001529,1
601,fig-000675,1
603,fig-000449,1
605,fig-003425,1
605,fig-003426,1
613,fig-001499,1
618,fig-000208,1
618,fig-008011,2
618,fig-008012,1
620,fig-005885,1
620,fig-005886,1
621,fig-000144,1
621,fig-002473,1
621,fig-003893,1
621,fig-004046,1
621,fig-004047,2
621,fig-004048,2
621,fig-004049,1
621,fig-004050,1
621,fig-010458,1
621,fig-010459,1
621,fig-010460,1
621,fig-010462,1
622,fig-003181,1
622,fig-003187,1
622,fig-003201,1
623,fig-000580,1
623,fig-004809,1
624,fig-000742,1
624,fig-000745,1
637,fig-001516,1
641,fig-007245,1
641,fig-007246,1
641,fig-007247,1
641,fig-007248,1
646,fig-004798,1
646,fig-004799,1
646,fig-004800,1
647,fig-000109,1
647,fig-000447,1
647,fig-002512,1
653,fig-001436,1
655,fig-001348,1
656,fig-006300,1
659,fig-000252,1
660,fig-000129,1
676,fig-000219,1
680,fig-000653,1
681,fig-008196,1
681,fig-008197,1
681,fig-008198,1
687,fig-003798,1
687,fig-004025,1
687,fig-010457,1
701,fig-004119,1
701,fig-004120,2
703,fig-007549,1
703,fig-007550,1
703,fig-007551,1
703,fig-007552,1
722,fig-000669,1
728,fig-000070,1
728,fig-000406,1
731,fig-000739,1
731,fig-006430,1
734,fig-009556,1
734,fig-009557,1
736,fig-001479,1
736,fig-007577,1
736,fig-007578,1
736,fig-007579,1
736,fig-007580,1
736,fig-007581,1
737,fig-000850,1
737,fig-005229,1
737,fig-005300,1
737,fig-005453,1
740,fig-010059,1
740,fig-010117,1
740,fig-010118,1
741,fig-000588,1
742,fig-001525,1
742,fig-003450,1
742,fig-003451,1
742,fig-003452,1
751,fig-000208,1
752,fig-001585,1
752,fig-007825,1
752,fig-007826,1
752,fig-007827,1
753,fig-001321,1
754,fig-003283,1
754,fig-003284,1
754,fig-010267,1
755,fig-000109,1
756,fig-000069,1
756,fig-006863,1
756,fig-007423,1
756,fig-007428,1
756,fig-007459,1
762,fig-000285,1
762,fig-004971,1
762,fig-004972,1
763,fig-000198,1
764,fig-000866,1
764,fig-006644,1
766,fig-000054,1
766,fig-000078,1
766,fig-000124,1
766,fig-000235,1
766,fig-000837,1
766,fig-001063,1
766,fig-003798,1
766,fig-003799,1
771,fig-000609,1
771,fig-008033,1
771,fig-008034,1
773,fig-008005,1
773,fig-008006,1
773,fig-008007,1
773,fig-008008,1
774,fig-008209,1
774,fig-008210,1
774,fig-008211,1
774,fig-008212,1
774,fig-008213,1
777,fig-000411,1
777,fig-004851,2
777,fig-005860,1
777,fig-005861,1
777,fig-005862,1
780,fig-000259,1
782,fig-000020,1
782,fig-001127,2
783,fig-004848,1
786,fig-001411,1
788,fig-003612,4
788,fig-003668,3
789,fig-006980,1
791,fig-000097,1
796,fig-006555,1
796,fig-006573,1
796,fig-006870,1
799,fig-000020,1
799,fig-001127,1
801,fig-000489,1
801,fig-003232,1
803,fig-010494,1
807,fig-006855,1
807,fig-006856,1
808,fig-000070,1
808,fig-000406,1
811,fig-000697,1
814,fig-000438,1
814,fig-001211,1
819,fig-010740,1
820,fig-009502,1
820,fig-009503,1
820,fig-009504,1
820,fig-009505,1
820,fig-009506,1
820,fig-009507,1
820,fig-009508,1
820,fig-009509,1
820,fig-009510,1
820,fig-009511,1
820,fig-009512,1
820,fig-009513,1
827,fig-000919,1
831,fig-004198,1
831,fig-004199,1
831,fig-004200,1
831,fig-004201,1
832,fig-007288,1
832,fig-007289,1
832,fig-007290,1
832,fig-007291,1
832,fig-007292,1
832,fig-007293,1
833,fig-009617,1
833,fig-009618,1
835,fig-007300,1
835,fig-007301,1
835,fig-007302,1
840,fig-000536,1
845,fig-009725,1
845,fig-009726,1
845,fig-009728,1
848,fig-000668,1
848,fig-004723,1
848,fig-004724,1
850,fig-005953,1
850,fig-005955,1
856,fig-001261,1
859,fig-000208,1
859,fig-000225,1
859,fig-000721,1
859,fig-008297,1
859,fig-008768,1
859,fig-008894,1
859,fig-009468,1
859,fig-009469,1
859,fig-009470,1
859,fig-009471,1
859,fig-009472,1
859,fig-009473,1
859,fig-009474,1
859,fig-009475,1
860,fig-001953,1
860,fig-004897,1
860,fig-004898,1
866,fig-000248,1
870,fig-000027,1
875,fig-000610,1
879,fig-006057,1
879,fig-006085,1
879,fig-006086,1
881,fig-000734,1
881,fig-004370,1
881,fig-004372,1
883,fig-005361,1
883,fig-005362,1
894,fig-004818,1
894,fig-005147,1
898,fig-004967,1
898,fig-006454,1
899,fig-000315,1
906,fig-004841,1
907,fig-009013,1
907,fig-009014,1
911,fig-000249,1
915,fig-001307,1
918,fig-000890,1
918,fig-001074,1
926,fig-000697,1
927,fig-008121,1
927,fig-008547,1
928,fig-008601,1
928,fig-008602,1
928,fig-008603,1
932,fig-000722,1
937,fig-005724,1
937,fig-005725,1
937,fig-005726,1
946,fig-002250,1
946,fig-004839,1
952,fig-005131,1
952,fig-005132,1
952,fig-005133,1
952,fig-005134,1
954,fig-004842,1
964,fig-002229,1
964,fig-006305,1
964,fig-006316,1
964,fig-006317,1
970,fig-000869,1
974,fig-003262,1
974,fig-003274,1
974,fig-003275,1
980,fig-008052,1
980,fig-009684,1
985,fig-007620,1
985,fig-007621,1
985,fig-007622,1
985,fig-007623,1
985,fig-007624,1
985,fig-007625,2
985,fig-007626,1
987,fig-000535,1
988,fig-000165,1
995,fig-002491,1
995,fig-002492,1
995,fig-002493,1
995,fig-002495,1
995,fig-002496,1
995,fig-002497,1
995,fig-002498,1
995,fig-002499,1
995,fig-002500,1
995,fig-002501,1
997,fig-000741,1
998,fig-008153,3
998,fig-008154,1
998,fig-008155,1
1000,fig-004794,1
1000,fig-005949,2
1000,fig-007982,1
1002,fig-002303,1
1002,fig-002304,1
1002,fig-002305,1
1008,fig-006729,3
1008,fig-007106,1
1011,fig-000327,1
1013,fig-001041,1
1015,fig-001280,1
1018,fig-002229,1
1018,fig-004531,1
1018,fig-010045,1
1018,fig-010046,1
1018,fig-010047,1
1018,fig-010048,1
1021,fig-000411,1
1021,fig-005845,1
1021,fig-005846,1
1025,fig-005262,1
1025,fig-005528,1
1025,fig-005541,1
1033,fig-001001,1
1036,fig-000129,1
1038,fig-000631,1
1039,fig-000039,1
1039,fig-000225,3
1041,fig-001118,1
1073,fig-006455,1
1073,fig-006456,1
1075,fig-003310,1
1087,fig-000248,1
1087,fig-000781,1
1090,fig-000741,1
1090,fig-002308,2
1094,fig-000065,2
1097,fig-007258,1
1097,fig-007259,1
1101,fig-000748,1
1102,fig-009773,1
1102,fig-009774,1
1105,fig-003373,1
1105,fig-003374,1
1105,fig-003375,1
1105,fig-003376,1
1108,fig-001127,1
1112,fig-001875,1
1116,fig-004063,1
1116,fig-004205,1
1116,fig-004206,1
1116,fig-004207,1
1116,fig-004208,1
1120,fig-000438,1
1120,fig-000734,1
1120,fig-001211,1
1120,fig-004370,1
1120,fig-004372,2
1120,fig-010619,1
1127,fig-008658,2
1127,fig-008660,1
1128,fig-001420,1
1134,fig-000129,1
1134,fig-002229,1
1134,fig-005982,1
1134,fig-005983,1
1134,fig-005985,1
1134,fig-005987,1
1137,fig-000782,2
1137,fig-004697,2
1138,fig-011034,1
1141,fig-000129,1
1141,fig-006394,1
1161,fig-000762,2
1164,fig-000705,1
1164,fig-008585,1
1164,fig-008586,1
1164,fig-008587,1
1164,fig-008588,1
1164,fig-008589,1
1167,fig-003042,1
1167,fig-003043,1
1171,fig-000406,5
1175,fig-000878,1
1180,fig-007349,1
1180,fig-008580,1
1180,fig-008581,1
1182,fig-000478,1
1182,fig-000689,2
1184,fig-000636,1
1184,fig-001004,1
1184,fig-001200,1
1184,fig-004836,2
1184,fig-004838,1
1184,fig-004844,1
1184,fig-004845,1
1191,fig-000875,1
1192,fig-000525,1
1194,fig-000501,1
1198,fig-000787,1
1198,fig-007788,1
1198,fig-007803,1
1198,fig-007804,1
1198,fig-007805,1
1198,fig-007806,1
1198,fig-007807,1
1200,fig-000911,1
1206,fig-005700,1
1206,fig-005733,1
1206,fig-005734,1
1207,fig-000116,1
1207,fig-000419,1
1207,fig-007208,1
1207,fig-007210,1
1207,fig-007211,1
1207,fig-007212,1
1211,fig-004536,1
1213,fig-003490,1
1213,fig-003491,1
1214,fig-000718,1
1215,fig-001378,1
1234,fig-005898,1
1234,fig-005899,1
1234,fig-005900,1
1234,fig-005901,1
1234,fig-005902,1
1250,fig-000582,1
1253,fig-003697,1
1266,fig-008110,1
1266,fig-008111,1
1274,fig-001362,1
1279,fig-000374,1
1281,fig-000018,1
