element_id,part_num,color_id
4275423,53657,1004
6194308,92926,71
6229123,26561,4
4241969,51035,1004
4257250,50899pat0001,-1
4116792,32083,0
4226929,32530,71
6284189,32072,14
6151004,25532,-1
6024730,92947,0
4647732,96714,0
4552507,973c03h03pr1510,0
6040151,87994pr0001,0
6052829,62885,0
4598528,92280,0
4616992,92339,0
6003304,93589,0
6081410,973c03h18pr2778,0
4582137,87797,0
4647731,85651,0
4594770,92340,0
6143035,78c14,0
4278403,53658,1004
4610371,92907,0
4169200,42445,0
4610381,92912,0
6081432,970c00pr0724,0
4589901,973c03h03pr1510,0
4566309,2564,0
6151197,98603s02pr0022,0
4668002,96207,0
4275491,973c03h01pr1184,0
4614391,87998,0
4647730,64991,0
6056862,973c30h03pr2533,0
4536522,60593,0
4515368,60478,0
6055044,973c03h03pr2481,0
4545113,59521,0
4225201,48336,0
4649165,98108,0
6151190,98603s02pr0021,0
4200351,45455,1004
452226,4522,0
6154810,24164pat0001,0
4648117,98282,0
6076566,15064,0
4529159,62699pr0001,0
4660876,98302,0
4156798,33009,0
6144001,23800,0
6039767,970c00pr0519,0
6135402,24123,0
4252541,47517pr0003c02,0
4609588,93217,0
4552541,973c03h03pr1513,0
6038654,93069,0
4582142,87798,0
6037152,970x028pr0444,0
6134897,24308,0
6145859,23801,0
6005373,4162pr0016,0
6150082,24119,0
6139227,23799,0
4159140,2339,0
4154853,4449,0
4525189,44815,0
6056859,973c47h03pr2532,0
4506690,59814,0
4285877,47452,0
6135323,24010,0
4629999,3626bpr0815,0
6135346,24890,0
6019762,91871pr0001,191
6160443,19857pat0008,0
6146742,51342pat0014,-1
4241987,51036,1004
4292098,50920,0
6143830,973c03h01pr2189,0
4295007,50922,0
4506799,42450,0
6147211,50231pr0003,85
4580715,89187,0
4264154,51035,1006
4528187,2446pr0005,0
4107585,30115,0
6000772,54091,0
4105221,30045,0
4290713,32474,0
4289255,2421,0
4109810,32062,0
6024850,970e07,0
434126,4341,0
4278747,47311,0
6174611,4162pr0050,0
4212899,47715,0
6005270,42450,0
6151377,98138pr0055,0
6139403,98138,0
6179847,56823c100,0
6136436,23850pr0001,0
4169614,42444,0
6142215,16497pr0003,0
6062883,90640pr0023,0
6063494,90640pr0024,0
4508205,51874pat0002,0
4610708,90649,0
4552040,4229,0
4106729,30104,0
6092664,3942c,0
4285385,42289,0
4540698,84638c01pr1442,0
4107153,71509,0
6151175,98603s02pr0020,0
6056927,970x315pr0586,0
393826,3938,0
6055037,970x021pr0570,0
6012983,76766,0
304126,3041,0
4551303,973c03h13pr1496,0
4209683,47406,0
6155220,973c03h01pr3489,0
389426,3894,0
6021504,90194,0
366626,3666,0
4162443,30414,0
4642935,90195,0
6058150,50860,0
4498712,57899,0
4529981,973c03h02pr1408,0
6122408,3626cpr1748,0
4181144,2456,0
4538781,64711,0
4264752,40249,0
4144025,32531,0
4207015,30029,0
655826,6558,0
6057706,3626cpr1283,0
4177444,43857,0
4107462,4266,0
4288446,50967,0
4216062,47431,0
4226683,2639,0
4113923,30170,0
4184285,44308,0
370826,3708,0
6013867,11203,0
6147790,24309,0
6146095,93609,0
4142135,32316,0
4595443,973c03h12pr1667,0
4536184,4617b,0
71155,71155,0
4539552,64343,0
6064175,6292,0
4519244,60176,0
4143246,30554b,0
6139104,24193pr0005,0
281526,2815,0
4589701,31300c03,0
4289839,47332,0
6254400,90498pr0003,70
6138217,98286,0
4618269,93554,0
4610948,93571,0
4597232,973c03h02pr1682,0
6040299,4182,0
4169414,42448,0
370126,3701,0
6158054,24154pat0003,0
6170505,98282,0
6057767,973pr2575c01,0
6134665,970c00pr1006,0
6129595,973c03h02pr3184,0
427526,4275b,0
4107742,32054,0
4107783,32034,0
4272943,2345,0
4287672,30088,0
4295432,75c15,0
4522213,973c03h02pr1367,0
4522208,973pr1365c01,0
