part_num,name,part_cat_id,part_material
1011Apr0034,Modulex Tile 1 x 1 with Black '4' Print with No Lining,66,Plastic
1011Apr0035,Modulex Tile 1 x 1 with Black '5' Print with No Lining,66,Plastic
1011Apr0036,Modulex Tile 1 x 1 with Black '6' Print with No Lining,66,Plastic
1011Apr0037,Modulex Tile 1 x 1 with Black '7' Print with No Lining,66,Plastic
1011Apr0038,Modulex Tile 1 x 1 with Black '8' Print with No Lining,66,Plastic
1011Apr0039,Modulex Tile 1 x 1 with Black '9' Print with No Lining,66,Plastic
1011B,Modulex Tile 1 x 1 with Black Lining on and Sides Only,66,Plastic
1011C,Modulex Tile 1 x 1 with Black Lining on Top and Sides,66,Plastic
1011Cpr0001,Modulex Tile 1 x 1 with A print - Black Lining on Top and Sides,66,Plastic
1011Cpr0002,Modulex Tile 1 x 1 with B print - Black Lining on Top and Sides,66,Plastic
1011Cpr0003,Modulex Tile 1 x 1 with C print - Black Lining on Top and Sides,66,Plastic
1011Cpr0004,Modulex Tile 1 x 1 with D print - Black Lining on Top and Sides,66,Plastic
1011Cpr0005,Modulex Tile 1 x 1 with E print - Black Lining on Top and Sides,66,Plastic
1011Cpr0006,Modulex Tile 1 x 1 with F print - Black Lining on Top and Sides,66,Plastic
1011Cpr0007,Modulex Tile 1 x 1 with G print - Black Lining on Top and Sides,66,Plastic
1011Cpr0008,Modulex Tile 1 x 1 with H print - Black Lining on Top and Sides,66,Plastic
1011Cpr0009,Modulex Tile 1 x 1 with I print - Black Lining on Top and Sides,66,Plastic
1011Cpr0010,Modulex Tile 1 x 1 with J print - Black Lining on Top and Sides,66,Plastic
1011Cpr0011,Modulex Tile 1 x 1 with K print - Black Lining on Top and Sides,66,Plastic
1011Cpr0012,Modulex Tile 1 x 1 with L print - Black Lining on Top and Sides,66,Plastic
1011Cpr0013,Modulex Tile 1 x 1 with M print - Black Lining on Top and Sides,66,Plastic
1011Cpr0014,Modulex Tile 1 x 1 with N print - Black Lining on Top and Sides,66,Plastic
1011Cpr0015,Modulex Tile 1 x 1 with O print - Black Lining on Top and Sides,66,Plastic
1011Cpr0016,Modulex Tile 1 x 1 with P print - Black Lining on Top and Sides,66,Plastic
1011Cpr0017,Modulex Tile 1 x 1 with Q print - Black Lining on Top and Sides,66,Plastic
1011Cpr0018,Modulex Tile 1 x 1 with R print - Black Lining on Top and Sides,66,Plastic
1011Cpr0019,Modulex Tile 1 x 1 with S print - Black Lining on Top and Sides,66,Plastic
1011Cpr0020,Modulex Tile 1 x 1 with T print - Black Lining on Top and Sides,66,Plastic
1011Cpr0021,Modulex Tile 1 x 1 with U print - Black Lining on Top and Sides,66,Plastic
1011Cpr0022,Modulex Tile 1 x 1 with V print - Black Lining on Top and Sides,66,Plastic
1011Cpr0023,Modulex Tile 1 x 1 with X print - Black Lining on Top and Sides,66,Plastic
1011Cpr0024,Modulex Tile 1 x 1 with Y print - Black Lining on Top and Sides,66,Plastic
1011Cpr0025,Modulex Tile 1 x 1 with Z print - Black Lining on Top and Sides,66,Plastic
1011Cpr0027,Modulex Tile 1 x 1 with Å print - Black Lining on Top and Sides,66,Plastic
1011Cpr0028,Modulex Tile 1 x 1 with Ä print - Black Lining on Top and Sides,66,Plastic
1011Cpr0029,Modulex Tile 1 x 1 with Ö print - Black Lining on Top and Sides,66,Plastic
1011D,Modulex Tile 1 x 1 with Slot for Line,66,Plastic
10124,"Bigfig Arm, Right [Plain]",60,Plastic
10124pr0001,"Bigfig Arm, Right with Blue Darkseid Print",60,Plastic
10124pr0002,"Bigfig Arm, Right with Black Hawaiian Tattoos (Maui) Print",60,Plastic
10124pr0011,"Bigfig Arm, Right with Pearl Gold Armour print",60,Plastic
10126,Hand Hulk - Right,60,Plastic
10127,Hand Hulk - Left,60,Plastic
10128pr0001,"Body Giant, Hulk with Dark Tan Pants Print",13,Plastic
10128pr0002,"Body Giant, Hulk with Dark Purple Pants Print",13,Plastic
10128pr0003,"Body Giant, Hulk with Magenta Pants Print",13,Plastic
1012A,Modulex Tile 2 x 12 without Internal Supports,66,Plastic
10154,"Bigfig Arm, Left [Plain]",60,Plastic
10154pr0001,"Bigfig Arm, Left with Blue Darkseid Print",60,Plastic
10154pr0002,"Bigfig Arm, Left with Black Hawaiian Tattoos Print (Maui)",60,Plastic
10154pr0006,"Bigfig Arm, Left with Killow print",60,Plastic
10154pr0011,"Bigfig Arm, Left with Pearl Gold Armour print",60,Plastic
10164,Minifig Santa Hat [Plain],65,Plastic
10164pr0001,Minifig Santa Hat with Red Top Print,65,Plastic
10165c01,Minifig Helmet Underwater Deep Diver with Trans-Clear Glass,65,Plastic
10166pr0001,Minifig Hair Short Tousled with Headphones Silver Print,65,Plastic
10166pr0003,Minifig Hair Short Tousled with Headphones Black Print,65,Plastic
10166pr0004,Minifig Hair Short Tousled with Headphones Dark Tan Print,65,Plastic
10168pr0001,Minifig Hat - Cowboy with Star and Medium Dark Flesh Braid Print,65,Plastic
10169,Bag / Sack with Handle,27,Plastic
10169pr0001,Bag / Sack with Handle and '$' / Dollar Sign Print,27,Plastic
10170,Food Pretzel,27,Plastic
10172,Equipment Trophy Cup Small,27,Plastic
10172pr0001,Equipment Trophy Cup Small with Black Terrier Dog Print,27,Plastic
10173,Minifig Ghost Shroud with Open Mouth,65,Plastic
10178,Rock 1 x 2 Crystal Stepped,33,Plastic
10178pr0001,Rock 1 x 2 Crystal Stepped with Dark Green Swamp Gas Print,33,Plastic
10178pr0002,Rock 1 x 2 Crystal Stepped with Gold Egyptian Eye of Horus Print,33,Plastic
10178pr0003,Rock 1 x 2 Crystal Stepped with Black Wolf Print [aka Moonstone],33,Plastic
10178pr0004,Rock 1 x 2 Crystal Stepped with Black Bat Print,33,Plastic
10178pr0005,Rock 1 x 2 Crystal Stepped with Black Zombie Print,33,Plastic
10178pr0006,Rock 1 x 2 Crystal Stepped with White Lightning Print,33,Plastic
10178pr0007,Rock 1 x 2 Crystal Stepped with White Ghost Moonstone Print,33,Plastic
10178pr0008,Rock 1 x 2 Crystal Stepped with Mosquito Print,33,Plastic
10179cert,Certificate of Authenticity for Set 10179 Limited Edition,17,Cardboard/Paper
10183,Minifig Neckwear Wings Fairy,27,Plastic
10183pr0001,Minifig Neckwear Wings Fairy with Black Lines Print,27,Plastic
10187,Weapon Bladed Claw Spread,27,Plastic
10190,Minifig Footwear Flipper [Thick],27,Plastic
10192,Sticker Sheet for Set 10192-1,58,Plastic
10193,"Duplo Figure with Bright Light Yellow Hair with Bright Light Blue Headband, Light Flesh Arms, White Legs, Azure Design Print (Cinderella)",57,Plastic
10197,Technic Pin Connector Hub with 2 Perpendicular Axles,12,Plastic
10201,Bracket 1 x 2 - 1 x 4 [Rounded Corners],9,Plastic
10202,Tile 6 x 6 with Bottom Tubes,19,Plastic
10202pr0002,Tile 6 x 6 with Bottom Tubes with Bus Half and 'TIME' Print,19,Plastic
10202pr0003,Tile 6 x 6 with Bottom Tubes with Bus Half and 'IT'S FRITTER' Print,19,Plastic
10202pr0004,"Tile 6 x 6 with Bottom Tubes with Incredibles '18% Approval Raring', Red Arrow print",19,Plastic
10202pr0005,Tile 6 x 6 with Bottom Tubes with Roof Tiles print,19,Plastic
10202pr0006,"Tile 6 x 6 with Bottom Tubes with Soccer Field, Side Line print",19,Plastic
10202pr0007,"Tile 6 x 6 with Bottom Tubes with Soccer Field, Center print",19,Plastic
10202pr0008,Tile 6 x 6  with Bottom Tubes with King Boo Face Print,19,Plastic
10202pr0009,"Tile 6 x 6 with Bottom Tubes with ""PLAYDAY"" Music Sheet print",19,Plastic
10202pr0010,"Tile 6 x 6 with Bottom Tubes with 'Welcome Harry, To Diagon Alley', LEGO Logo, and 'Harry Potter' Print",19,Plastic
10202pr0011,Tile 6 x 6 with Bottom Tubes with 'Soap Suds' and 'Cleans it all' Print,19,Plastic
10202pr0012,Tile 6 x 6 with Bottom Tubes with Washing Machine and Female Minifigure Print,19,Plastic
10218,Game Board - Life of George,17,Cardboard/Paper
1021A,Modulex Tile 1 x 2 without Internal Support,66,Plastic
1021Apr0001,"Modulex Tile 1 x 2 with White ',' print",66,Plastic
1021Apr0002,Modulex Tile 1 x 2 with White '/' print,66,Plastic
1021Apr0003,Modulex Tile 1 x 2 with White '.' print,66,Plastic
1021Apr0004,Modulex Tile 1 x 2 with White ':' print,66,Plastic
1021Apr0005,Modulex Tile 1 x 2 with White '(' or ')' print,66,Plastic
1021Apr0068,Modulex Tile 1 x 2 with 2 White Stars on Red print,66,Plastic
1021Apr0082,"Modulex Tile 1 x 2 with Black ""!"" Exclamation Point print",66,Plastic
1021Apr0180,Modulex Tile 1 x 2 with Black 'A1' print,66,Plastic
1021B,Modulex Tile 1 x 2 with Internal Supports,66,Plastic
1021Bpr0011,"Modulex Tile 1 x 2 with Internal Supports with Black ""/"" print",66,Plastic
10227,"Minifig Head Cover, Swamp Creature with Eye Holes, Fins and Spikes",65,Plastic
1022A,Modulex Tile 2 x 2 without Internal Supports,66,Plastic
1022Apr00014,Modulex Tile 2 x 2 without Internal Supports with White n/u print,66,Plastic
1022B,Modulex Tile 2 x 2 with Internal Supports,66,Plastic
10247,Plate Special 2 x 2 with 1 Pin Hole [Complete Underside Rib],9,Plastic
10258,Weapon Bow and Arrow Compound,27,Plastic
102703uk,"Comic Book, Pirates - The Golden Medallion",17,Plastic
10288,Technic Axle and Pin Connector Triple [120° Offset],12,Plastic
10301pr0001,Minifig Hair with Bat Ears and Medium Dark Flesh Inner Ear Print,65,Plastic
10301pr0002,Minifig Hair with Bat Ears and Dark Bluish Gray Inner Ear Print,65,Plastic
10301pr0003,Minifig Hair with Bat Ears and Tan Inner Ear Print,65,Plastic
10301pr0004,Minifig Hair with Bat Ears and Dark Bluish Gray Inner Ear Print,65,Plastic
10301pr0005,Minifig Hair with Bat Ears and Dark Brown Inner Ear Print,65,Plastic
10302pr0001,"Minifig Head Special, Werewolf with Dark Brown Fur Print",59,Plastic
10303,Arm with Wing,60,Plastic
10304pr0001,Coffin 2 x 4 x 6 Lid with White Bat Print [9464 / 9468],7,Plastic
10304pr0002,Coffin 2 x 4 x 6 Lid with Light Bluish Gray Vampire and White Cobwebs Print,7,Plastic
10305pr0001,Minifig Helmet with Front Prongs and Dark Purple Print (Magneto),65,Plastic
1030b1,Activity Booklet 1 - Parts Tray Organizer Card - Set 1030,17,Plastic
1030b10,Activity Booklet 10 - Wheels - Set 1030,17,Plastic
1030b11,Activity Booklet 11 - Conveyors - Set 1030,17,Plastic
1030b12,Activity Booklet 12 - Advanced Gearing - Set 1030,17,Plastic
1030b13,Activity Booklet 13 - Pistons - Set 1030,17,Plastic
1030b14,Activity Booklet 14 - Merry-go-round - Set 1030,17,Plastic
1030b15,Activity Booklet 15 - Cranes - Set 1030,17,Plastic
1030b16,Activity Booklet 16 - Lifting with Pulleys - Set 1030,17,Plastic
1030b17,Activity Booklet 17 - Water Wheels - Set 1030,17,Plastic
1030b18,Activity Booklet 18 - Windmills - Set 1030,17,Plastic
1030b19,Activity Booklet 19 - Simple Steering - Set 1030,17,Plastic
1030b2,Activity Booklet 2 - Levers - Set 1030,17,Plastic
1030b20,Activity Booklet 20 - Advanced Steering - Set 1030,17,Plastic
1030b3,Activity Booklet 3 - Supports - Set 1030,17,Plastic
1030b4,Activity Booklet 4 - Lifting & Supporting - Set 1030,17,Plastic
1030b5,Activity Booklet 5 - Pulleys & Belts - Set 1030,17,Plastic
1030b6,Activity Booklet 6 - Gears - Set 1030,17,Plastic
1030b7,Activity Booklet 7 - More Gears - Set 1030,17,Plastic
1030b8,Activity Booklet 8 - Angles - Set 1030,17,Plastic
1030b9,Activity Booklet 9 - Flywheels - Set 1030,17,Plastic
10312,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout,47,Plastic
10312pr0001,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Ninjago Silver Frame with Orange Cracks Print,47,Plastic
10312pr0002,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Ninjago Black and White Print,47,Plastic
10312pr0004,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and B-wing Starfighter Print,47,Plastic
10312pr0005,"Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Light Bluish Gray Jedi Starfighter, Two Red Triangles on Top Print",47,Plastic
10312pr0006,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout and Rebel Combat Frigate Print,47,Plastic
10312pr0009,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout - Jedi Interceptor print,47,Plastic
10314,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top with Raised Inside Support",37,Plastic
10314pr0001,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top with Raised Inside Support and Twin White Line Speed Stripe Print",37,Plastic
10314pr0002,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top with Raised Inside Support and ""FLINTSTONE"" print",37,Plastic
10314pr1003,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top with Raised Inside Support and (Medium) Blue POLICE print",37,Plastic
1031A,Modulex Tile 1 x 3 without Internal Support,66,Plastic
1031B,Modulex Tile 1 x 3 with Internal Support,66,Plastic
1032A,Modulex Tile 2 x 3 without Internal Supports,66,Plastic
1032B,Modulex Tile 2 x 3 with Internal Supports,66,Plastic
1032b1,Activity Booklet 1 - Parts Tray Organizer Card - Set 1032,17,Plastic
1032b10,Activity Booklet 10 - Appliances - Set 1032,17,Plastic
1032b11,Activity Booklet 11 - Right Angle Drives - Set 1032,17,Plastic
1032b12,Activity Booklet 12 - Clamps - Set 1032,17,Plastic
1032b13,Activity Booklet 13 - Mixers & Propellers - Set 1032,17,Plastic
1032b14,Activity Booklet 14 - Valves & Hammers - Set 1032,17,Plastic
1032b15,Activity Booklet 15 - Gearing Down - Set 1032,17,Plastic
1032b16,Activity Booklet 16 - Differentials - Set 1032,17,Plastic
1032b17,Activity Booklet 17 - Cranes - Set 1032,17,Plastic
1032b18,Activity Booklet 18 - Conveyors - Set 1032,17,Plastic
1032b19,Activity Booklet 19 - Drawbridges & Boom Gates - Set 1032,17,Plastic
1032b2,Activity Booklet 2 - Bracing & Connecting - Set 1032,17,Plastic
1032b20,Activity Booklet 20 - Robots - Set 1032,17,Plastic
1032b3,Activity Booklet 3 - Using the 4.5V motor - Set 1032,17,Plastic
1032b4,Activity Booklet 4 - Wheels & Belts - Set 1032,17,Plastic
1032b5,Activity Booklet 5 - Saws - Set 1032,17,Plastic
1032b6,Activity Booklet 6 - Small Machinery - Set 1032,17,Plastic
1032b7,Activity Booklet 7 - Chains - Set 1032,17,Plastic
1032b8,Activity Booklet 8 - Chain Drives - Set 1032,17,Plastic
1032b9,Activity Booklet 9 - Winches - Set 1032,17,Plastic
104,Antenna 6H without Stud Hole,32,Plastic
1041A,Modulex Tile 1 x 4 without Internal Supports,66,Plastic
1041B,Modulex Tile 1 x 4 with Internal Supports,66,Plastic
1041C,Modulex Tile 1 x 4 with Curved Edge,66,Plastic
1042A,Modulex Tile 2 x 4 without Internal Supports,66,Plastic
1042B,Modulex Tile 2 x 4 with Internal Supports,66,Plastic
1043A,Modulex Tile 3 x 4 without Internal Supports,66,Plastic
1044A,Modulex Tile 4 x 4 without Internal Supports,66,Plastic
10485,Sticker Sheet for Set 4473-1,58,Plastic
10509,"Animal, Horse, Moveable Legs [Plain]",28,Plastic
10509pr0001,"Animal, Horse, Moveable Legs with Black Bridle and White Blaze Print",28,Plastic
10509pr0002,"Animal, Horse, Moveable Legs with Gray Bridle Print",28,Plastic
10509pr0003,"Animal, Horse, Moveable Legs with Black Bridle and Silver Buckles Print",28,Plastic
10509pr0004,"Animal, Horse, Moveable Legs with Dark Brown Bridle Print",28,Plastic
10509pr0005,"Animal, Horse, Moveable Legs with Gold Bridle and Decorations Print",28,Plastic
10509pr0006,"Animal, Horse, Movable Legs with Black Eyes, White Pupils and Single Buckle Black Bridle Print",28,Plastic
10509pr0007,"Animal, Horse, Moveable Legs with Reddish Brown Bridle Print",28,Plastic
1051A,Modulex Tile 1 x 5 without Internal Supports,66,Plastic
1052A,Modulex Tile 2 x 5 without Internal Supports,66,Plastic
10534,Sticker Sheet for Set 9500-1,58,Plastic
10538,Sticker Sheet for Set 9498-1,58,Plastic
10555,"Neckwear Cape, Narrow, One Top Hole",38,Cloth
10563,Duplo Container Box 2 x 4 x 2 Door with Handle,4,Plastic
10563pr0001,Duplo Container Box 2 x 4 x 2 Door with Handle with Lion Face print,4,Plastic
10581,Sticker Sheet for Set 4429-1,58,Plastic
10602,Sticker Sheet for Set 9396-1,58,Plastic
10635,Sticker Sheet for Set 9473-1,58,Plastic
10636,Sticker Sheet for Set 9474-1,58,Plastic
10639,Sticker Sheet for Set 10226-1,58,Plastic
10646,Sticker Sheet for Set 9499-1,58,Plastic
10660c01,Duplo Airplane Landing Gear with Two Wheels Type 2,4,Plastic
10661,Duplo Plate 2 x 4 with 2 Holes with Locking Ridges,4,Plastic
10677pr0001,"Torso with Bat Wings and Medium Dark Flesh Fur Print, Dark Brown Arms with Wings, Reddish Brown Hands",60,Plastic
10677pr0002,"Torso with Bat Wings and Dark Bluish Gray Fur Print, Black Arms with Wings, Black Hands",60,Plastic
10677pr0003,"Torso with Bat Wings and Tan Fur Print, Reddish Brown Arms with Wings, Reddish Brown Hands",60,Plastic
10677pr0004,"Torso with Bat Wings and Green and Purple Vein and Dark Orange Fur Print, Magenta Arms with Wings, Olive Green Hands",60,Plastic
10677pr0005,"Torso with Bat Wings and Muscles, Light Bluish Grey Chest Hair Print, White Arms with Wings, White Hands",60,Plastic
10716,"Neckwear Cape, Pauldron, Long, Mandalorian Print",38,Plastic
10751,Sticker Sheet for Set 9447-1,58,Plastic
10752,Sticker Sheet for Set 9466-1,58,Plastic
10755,Sticker Sheet for Set 9464-1 - Glow In The Dark Version,58,Plastic
10770,Sticker Sheet for Set 9448-1,58,Plastic
10772,Sticker Sheet for Set 9398-1,58,Plastic
10781,Sticker Sheet for Set 9449-1,58,Plastic
10793,Sticker Sheet for Set 9450-1,58,Plastic
107pr0001,Road Sign Cantilever Curved with 'SHELL' Print,38,Plastic
107pr0002,Road Sign Cantilever Curved with 'POLICE' Print,38,Plastic
1082A,Modulex Tile 2 x 8 without Internal Supports,66,Plastic
10830pat0001,Equipment Magnifying Glass with Thick Frame and Solid Handle with Trans-Clear Lens,27,Plastic
10830pat0001pr0001,Equipment Magnifying Glass with Thick Frame and Solid Handle with Trans-Clear Lens with Target Aim print,27,Plastic
10834,Sticker Sheet for Set 6867-1,58,Plastic
10839,Sticker Sheet for Set 6869-1,58,Plastic
1083A,Modulex Tile 8 x 3 without Internal Supports,66,Plastic
1084A,Modulex Tile 4 x 8 without Internal Supports,66,Plastic
1085A,Modulex Tile 5 x 8 without Internal Supports,66,Plastic
10867,Sticker Sheet for Set 6865-1,58,Plastic
108681,"User Guide, Information Note for Parents, 12V Transformer - 108681",17,Cardboard/Paper
1086A,Modulex Tile 6 x 8 without Internal Supports,66,Plastic
